100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,53,52,61,65,67,100,100,100,100,100,100,100
100,100,100,100,100,49,58,69,69,75,74,86,79,57,100,100,100,100,100
100,100,100,41,49,41,50,68,75,80,72,64,69,58,65,50,100,100,100
100,100,100,46,45,42,59,69,70,76,88,73,66,64,75,70,100,100,100
100,100,44,49,50,53,70,65,62,66,77,66,54,55,68,60,59,100,100
100,100,49,57,49,50,67,67,66,50,59,56,58,57,60,68,75,100,100
100,36,38,49,44,52,52,57,46,37,34,40,56,49,58,71,86,81,100
100,30,20,27,25,31,31,28,24,24,23,35,46,57,79,84,86,81,100
100,27,14,14,17,20,17,17,13,9,25,31,41,55,74,68,76,92,100
100,25,11,9,10,10,10,12,8,16,22,40,52,71,82,81,94,94,100
100,23,14,6,5,3,9,5,14,17,34,58,78,88,88,95,94,82,100
100,100,23,9,1,3,1,9,12,22,35,69,90,96,87,100,87,100,100
100,100,23,12,1,1,3,5,15,23,45,74,97,85,90,94,80,100,100
100,100,100,23,12,1,1,7,13,26,38,60,88,80,87,96,100,100,100
100,100,100,23,23,12,9,6,15,22,39,51,87,83,94,80,100,100,100
100,100,100,100,100,25,25,17,16,29,46,57,83,73,100,100,100,100,100
100,100,100,100,100,100,100,25,28,32,45,46,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
